,Channel_id,Channel_title,Created_date,Video_count,Views_count,Subscription_count,Subscription_count_hidden,Country
83,UC2tsySbe9TNrI-xh2lximHA,A4,2014-11-29T10:59:53Z,375,7517297052,30000000,False,BY
84,UCj22tfcQrWG7EMEKS0qLeEg,CarryMinati,2014-10-30T11:26:23Z,173,2276986366,29700000,False,IN
85,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,2015-03-17T00:18:47Z,1964,46664953702,29400000,False,US
86,UCxoq-PAQeAdk_zyg8YS0JqA,Luis Fonsi,2014-02-25T16:07:09Z,82,13235063445,29300000,False,US
87,UC8f7MkX4MFOOJ2SerXLInCA,one31,2013-01-10T12:27:39Z,107668,23076639803,29200000,False,TH
88,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,2012-05-26T20:30:52Z,4916,15575142078,29000000,False,US
89,UCbTVTephX30ZhQF5zwFppBg,rezendeevil,2012-02-12T23:58:25Z,10233,11647073616,28900000,False,BR
90,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2012-06-01T10:23:46Z,170583,8081004530,28900000,False,IN
91,UCpEJRZdSpdVZ8vh63T9I2KQ,Like Nastya ESP,2017-04-22T16:42:23Z,447,11770125000,28800000,False,US
92,UCPNxhDvTcytIdvwXWAm43cA,Selena Gomez,2008-02-08T14:59:05Z,179,10379294204,28800000,False,NA
93,UCQ7x25F6YXY9DvGeHFxLhRQ,shfa2 - شفا,2017-11-06T23:18:50Z,894,16458610507,28500000,False,AE
94,UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,2007-07-12T12:23:44Z,10072,18008578982,28500000,False,NL
95,UClZF7OsrECe3t_ADrjZEh_Q,Geet MP3,2016-10-22T03:37:32Z,420,9159828419,28400000,False,IN
96,UCbrd1vu4_7qIE6IPV_dA-OA,GENIAL,2017-06-01T07:07:20Z,4077,5150212473,28400000,False,MX
97,UCtW7qWjpCZ8zps-Cf2NF26w,Gaane Sune Ansune,2015-08-24T08:17:50Z,2604,13515531902,28200000,False,IN
98,UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs,2006-09-08T08:50:54Z,545,27365813691,28200000,False,CA
99,UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,2011-09-26T11:44:33Z,5402,15403717139,27900000,False,IN
